#id	title	composer	source	licence	resource	part
lieder-lc6217375	Les Orientales: 4 Les tronçons du serpent	Marie Jaëll	OpenScore Lieder Corpus, scores/Jaëll,_Marie/Les_Orientales/4_Les_tronçons_du_serpent/lc6217375.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6217375.mxl	keyboard
lieder-lc6670960	Petit nègre	Pauline Thys	OpenScore Lieder Corpus, scores/Thys,_Pauline/_/Petit_nègre/lc6670960.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6670960.mxl	keyboard
lieder-lc6667483	La dot d’Auvergne	Loïsa Puget	OpenScore Lieder Corpus, scores/Puget,_Loïsa/_/La_dot_d’Auvergne/lc6667483.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6667483.mxl	keyboard
lieder-lc8873154	Love Relaps’d	Thomas Arne	OpenScore Lieder Corpus, scores/Arne,_Thomas/_/Love_Relaps’d/lc8873154.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc8873154.mxl	keyboard
lieder-lc6614717	6 Nouvelles mélodies: 4 Mignonne	Clémence de Grandval	OpenScore Lieder Corpus, scores/Grandval,_Clémence_de/6_Nouvelles_mélodies/4_Mignonne/lc6614717.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6614717.mxl	keyboard
lieder-lc6604249	Le serment	Sophie Gail	OpenScore Lieder Corpus, scores/Gail,_Sophie/_/Le_serment/lc6604249.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6604249.mxl	keyboard
lieder-lc6587611	Ballade des gros dindons	Emmanuel Chabrier	OpenScore Lieder Corpus, scores/Chabrier,_Emmanuel/_/Ballade_des_gros_dindons/lc6587611.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6587611.mxl	keyboard
lieder-lc6766045	Songs of Love and Spring: 10 The Sapphire	Liza Lehmann	OpenScore Lieder Corpus, scores/Lehmann,_Liza/Songs_of_Love_and_Spring/10_The_Sapphire/lc6766045.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6766045.mxl	keyboard
lieder-lc6669339	Le bon curé patience	Loïsa Puget	OpenScore Lieder Corpus, scores/Puget,_Loïsa/_/Le_bon_curé_patience/lc6669339.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6669339.mxl	keyboard
lieder-lc6688667	Choral Songs in Honour of Her Majesty Queen Victoria: 12 Flora’s Queen	Walter Parratt	OpenScore Lieder Corpus, scores/Parratt,_Walter/Choral_Songs_in_Honour_of_Her_Majesty_Queen_Victoria/12_Flora’s_Queen/lc6688667.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6688667.mxl	keyboard
